M1,M10,M11,M12,M13,M14,M15,M2,M3,M5,M6,M7,M8,M9
0,0,0,0,0,0,0,57,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,60,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,60
0,0,0,0,0,0,0,0,0,0,0,0,0,60
36,23,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,36,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,59,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,59
9,0,0,0,0,0,0,49,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,51,0
0,0,58,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,58,0,0,0,0,0,0
0,0,0,0,0,0,0,58,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,58,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,58,0
0,0,0,0,0,0,0,0,0,0,0,0,0,58
0,28,0,0,0,0,0,29,0,0,0,0,0,0
0,0,0,0,0,0,0,57,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,57,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,57,0
0,0,0,0,0,0,0,0,0,0,0,0,57,0
0,0,0,0,0,0,0,0,0,0,0,0,0,57
21,0,0,0,0,0,0,0,35,0,0,0,0,0
0,0,0,0,0,0,0,0,56,0,0,0,0,0
0,0,0,0,0,0,0,0,0,56,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,56,0
0,0,0,0,0,55,0,0,0,0,0,0,0,0
2,27,25,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,54,0,0,0,0,0
0,0,0,0,0,0,0,0,54,0,0,0,0,0
0,0,0,0,0,0,0,0,0,54,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,54,0
0,0,0,0,0,0,0,0,0,0,0,0,54,0
0,0,0,0,0,0,0,0,0,0,0,0,0,54
13,0,0,0,0,0,0,0,0,0,14,0,26,0
0,0,0,0,0,0,0,0,0,0,0,0,53,0
12,6,34,0,0,0,0,0,0,0,0,0,0,0
0,28,24,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,0,0,0,0,0,0,0,48
0,0,0,0,0,0,0,52,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,52,0
3,23,24,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,51,0,0,0,0,0,0
0,0,0,0,0,0,0,51,0,0,0,0,0,0
0,0,0,0,0,0,0,51,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,51,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
